
{'id': 692, 'truckNumber_id': 37, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 477, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 693, 'truckNumber_id': 36, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 477, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 694, 'truckNumber_id': 35, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 1, 'clientTruckId': 474, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 695, 'truckNumber_id': 34, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 731, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 696, 'truckNumber_id': 33, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 472, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 697, 'truckNumber_id': 32, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 1, 'clientTruckId': 471, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 698, 'truckNumber_id': 31, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 730, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 699, 'truckNumber_id': 30, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 1, 'clientTruckId': 470, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 700, 'truckNumber_id': 29, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 1, 'clientTruckId': 473, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 701, 'truckNumber_id': 10, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 550, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 702, 'truckNumber_id': 11, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 551, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 703, 'truckNumber_id': 12, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 552, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 704, 'truckNumber_id': 13, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 553, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 705, 'truckNumber_id': 14, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 554, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 706, 'truckNumber_id': 1, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 653, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 707, 'truckNumber_id': 2, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 654, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 708, 'truckNumber_id': 15, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 700, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 709, 'truckNumber_id': 16, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 701, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 710, 'truckNumber_id': 17, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 702, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 711, 'truckNumber_id': 18, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 703, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 712, 'truckNumber_id': 19, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 707, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 713, 'truckNumber_id': 20, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 708, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 714, 'truckNumber_id': 21, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 709, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 715, 'truckNumber_id': 22, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 719, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 716, 'truckNumber_id': 23, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 722, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 717, 'truckNumber_id': 24, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 723, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 718, 'truckNumber_id': 25, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 725, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 719, 'truckNumber_id': 26, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 726, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 30)}
{'id': 720, 'truckNumber_id': 27, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 727, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 721, 'truckNumber_id': 28, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 728, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 722, 'truckNumber_id': 8, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 782, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 723, 'truckNumber_id': 3, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 784, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 724, 'truckNumber_id': 4, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 784, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 725, 'truckNumber_id': 5, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 785, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 726, 'truckNumber_id': 6, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 786, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 727, 'truckNumber_id': 7, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 784, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 728, 'truckNumber_id': 9, 'truckType': 'Embedded', 'rate_card_name_id': 1, 'clientId_id': 1, 'clientTruckId': 789, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 729, 'truckNumber_id': 33, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 1, 'clientTruckId': 472, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 730, 'truckNumber_id': 36, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 1, 'clientTruckId': 475, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 731, 'truckNumber_id': 37, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 1, 'clientTruckId': 477, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 732, 'truckNumber_id': 14, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 1, 'clientTruckId': 554, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 733, 'truckNumber_id': 11, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 2, 'clientTruckId': 551, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 734, 'truckNumber_id': 38, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 1, 'clientTruckId': 651, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
{'id': 735, 'truckNumber_id': 2, 'truckType': 'Casual', 'rate_card_name_id': 3, 'clientId_id': 1, 'clientTruckId': 654, 'startDate': datetime.date(2023, 1, 1), 'endDate': datetime.date(2023, 12, 31)}
